"","Subject","Confidence","Color_label_matched","Language","Age","Gender","Language_spoken","rt","Condition","Condition_label","Chain","Generation","Color_label_source","Lightness_source","Lighness_matched","Saturation_source","Saturation_matched","Hue_source","Hue_matched","Unique_hue","Seed","Dif","RHAD","Error_rate_hue","Error_rate_sat"
"548","sm07",6,"seed dark rose","Danish","22","male","Dansk",5222,"2","Naming transmission","3",0,"seed mørk rosa",50,50,60,68,327.55,325,372.2,327.55,47.2,105.711086226204,2.55000000000001,8
"549","sqtn",6,"seed mustard","Danish","24","female","Dansk",7451,"1","Pure transmission","4",10,"seed sennepsgul",50,50,61,59,53,55,62.4,49.85,7.4,58.9641434262948,2,2
"550","sqtn",6,"seed grass green","Danish","24","female","Dansk",6462,"1","Pure transmission","4",10,"seed græsgrøn",50,50,58,53,118,124,136.5,117.98,12.5,67.4946004319655,6,5
"551","sqtn",6,"seed ocean blue","Danish","24","female","Dansk",15985,"1","Pure transmission","4",10,"seed havblå",50,50,66,71,179,191,193.6,179.34,2.59999999999999,18.2328190743338,12,5
"552","sqtn",6,"seed dark rose","Danish","24","female","Dansk",8802,"1","Pure transmission","4",10,"seed mørk rosa",50,50,75,63,327,328,372.2,327.55,44.2,98.9921612541994,1,12
"553","st8l",5,"seed dark rose","Danish","21","male","Dansk",16557,"1","Pure transmission","0",14,"seed mørk rosa",50,50,84,76,296,300,372.2,327.55,72.2,161.702127659575,4,8
"554","st8l",3,"seed ocean blue","Danish","21","male","Dansk",30280,"1","Pure transmission","0",14,"seed havblå",50,50,66,73,199,197,193.6,179.34,-3.40000000000001,-23.8429172510519,2,7
"555","st8l",4,"seed grass green","Danish","21","male","Dansk",24053,"1","Pure transmission","0",14,"seed græsgrøn",50,50,42,40,109,98,136.5,117.98,38.5,207.883369330454,11,2
"556","st8l",1,"seed mustard","Danish","21","male","Dansk",59697,"1","Pure transmission","0",14,"seed sennepsgul",50,50,34,43,59,62,62.4,49.85,0.399999999999999,3.18725099601593,3,9
"557","thuf",2,"seed mustard","Danish","26","male","Dansk",20917,"1","Pure transmission","3",5,"seed sennepsgul",50,50,64,49,53,54,62.4,49.85,8.4,66.9322709163347,1,15
"558","thuf",3,"seed ocean blue","Danish","26","male","Dansk",22838,"1","Pure transmission","3",5,"seed havblå",50,50,28,41,180,181,193.6,179.34,12.6,88.35904628331,1,13
"559","thuf",0,"seed dark rose","Danish","26","male","Dansk",35341,"1","Pure transmission","3",5,"seed mørk rosa",50,50,62,41,323,327,372.2,327.55,45.2,101.231802911534,4,21
"560","thuf",3,"seed grass green","Danish","26","male","Dansk",36677,"1","Pure transmission","3",5,"seed græsgrøn",50,50,58,54,128,116,136.5,117.98,20.5,110.691144708423,12,4
"561","tupe",4,"seed grass green","Danish","27","female","Dansk",9285,"2","Naming transmission","0",0,"seed græsgrøn",50,50,60,40,117.98,110,136.5,117.98,26.5,143.088552915767,7.98,20
"562","tupe",1,"seed mustard","Danish","27","female","Dansk",56521,"2","Naming transmission","0",0,"seed sennepsgul",50,50,60,30,49.85,46,62.4,49.85,16.4,130.677290836653,3.85,30
"563","tupe",2,"seed ocean blue","Danish","27","female","Dansk",13527,"2","Naming transmission","0",0,"seed havblå",50,50,60,30,179.34,186,193.6,179.34,7.59999999999999,53.2959326788219,6.66,30
"564","tupe",4,"seed dark rose","Danish","27","female","Dansk",3843,"2","Naming transmission","0",0,"seed mørk rosa",50,50,60,42,327.55,321,372.2,327.55,51.2,114.669652855543,6.55000000000001,18
"565","tyuw",3,"seed grass green","Danish","23","male","DanskogBosnisk",13995,"1","Pure transmission","0",2,"seed græsgrøn",50,50,62,75,117,132,136.5,117.98,4.5,24.2980561555076,15,13
"566","tyuw",5,"seed mustard","Danish","23","male","DanskogBosnisk",7952,"1","Pure transmission","0",2,"seed sennepsgul",50,50,64,65,52,55,62.4,49.85,7.4,58.9641434262948,3,1
"567","tyuw",4,"seed dark rose","Danish","23","male","DanskogBosnisk",11360,"1","Pure transmission","0",2,"seed mørk rosa",50,50,59,65,327,319,372.2,327.55,53.2,119.148936170213,8,6
"568","tyuw",6,"seed ocean blue","Danish","23","male","DanskogBosnisk",22346,"1","Pure transmission","0",2,"seed havblå",50,50,52,60,180,182,193.6,179.34,11.6,81.3464235624124,2,8
"569","u69f",5,"seed grass green","Danish","25","male","Ungarsk",16540,"1","Pure transmission","3",2,"seed græsgrøn",50,50,51,59,127,123,136.5,117.98,13.5,72.8941684665227,4,8
"570","u69f",5,"seed dark rose","Danish","25","male","Ungarsk",20249,"1","Pure transmission","3",2,"seed mørk rosa",50,50,69,68,324,325,372.2,327.55,47.2,105.711086226204,1,1
"571","u69f",5,"seed ocean blue","Danish","25","male","Ungarsk",15558,"1","Pure transmission","3",2,"seed havblå",50,50,72,59,183,182,193.6,179.34,11.6,81.3464235624124,1,13
"572","u69f",5,"seed mustard","Danish","25","male","Ungarsk",6704,"1","Pure transmission","3",2,"seed sennepsgul",50,50,63,74,48,48,62.4,49.85,14.4,114.741035856574,0,11
"573","u8xc",6,"seed dark rose","Danish","48","female","dansk",7920,"1","Pure transmission","1",10,"seed mørk rosa",50,50,70,60,302,312,372.2,327.55,60.2,134.826427771557,10,10
"574","u8xc",4,"seed ocean blue","Danish","48","female","dansk",27346,"1","Pure transmission","1",10,"seed havblå",50,50,60,77,181,180,193.6,179.34,13.6,95.3716690042076,1,17
"575","u8xc",6,"seed mustard","Danish","48","female","dansk",27287,"1","Pure transmission","1",10,"seed sennepsgul",50,50,58,58,39,37,62.4,49.85,25.4,202.390438247012,2,0
"576","u8xc",5,"seed grass green","Danish","48","female","dansk",18569,"1","Pure transmission","1",10,"seed græsgrøn",50,50,61,73,137,143,136.5,117.98,-6.5,-35.097192224622,6,12
"577","uex5",5,"seed dark rose","Danish","31","male","Dansk",10354,"2","Naming transmission","1",5,"seed mørk rosa",50,50,72,62,322,330,372.2,327.55,42.2,94.5128779395297,8,10
"578","uex5",5,"seed mustard","Danish","31","male","Dansk",20991,"2","Naming transmission","1",5,"seed sennepsgul",50,50,57,39,50,49,62.4,49.85,13.4,106.772908366534,1,18
"579","uex5",6,"seed grass green","Danish","31","male","Dansk",8178,"2","Naming transmission","1",5,"seed græsgrøn",50,50,72,59,97,99,136.5,117.98,37.5,202.483801295896,2,13
"580","uex5",6,"seed ocean blue","Danish","31","male","Dansk",16209,"2","Naming transmission","1",5,"seed havblå",50,50,60,50,182,179,193.6,179.34,14.6,102.384291725105,3,10
"581","uf5t",5,"seed ocean blue","Danish","22","male","dansk",32306,"1","Pure transmission","0",6,"seed havblå",50,50,52,67,191,193,193.6,179.34,0.599999999999994,4.20757363253853,2,15
"582","uf5t",6,"seed dark rose","Danish","22","male","dansk",16877,"1","Pure transmission","0",6,"seed mørk rosa",50,50,60,44,325,324,372.2,327.55,48.2,107.950727883539,1,16
"583","uf5t",4,"seed grass green","Danish","22","male","dansk",28833,"1","Pure transmission","0",6,"seed græsgrøn",50,50,66,74,92,117,136.5,117.98,19.5,105.291576673866,25,8
"584","uf5t",5,"seed mustard","Danish","22","male","dansk",6167,"1","Pure transmission","0",6,"seed sennepsgul",50,50,72,59,63,61,62.4,49.85,1.4,11.1553784860558,2,13
"585","uhn5",6,"seed mustard","Danish","29","female","Dansk",15736,"2","Naming transmission","4",3,"seed sennepsgul",50,50,55,48,49,52,62.4,49.85,10.4,82.8685258964144,3,7
"586","uhn5",5,"seed dark rose","Danish","29","female","Dansk",16648,"2","Naming transmission","4",3,"seed mørk rosa",50,50,41,44,323,314,372.2,327.55,58.2,130.347144456887,9,3
"587","uhn5",5,"seed ocean blue","Danish","29","female","Dansk",32008,"2","Naming transmission","4",3,"seed havblå",50,50,72,64,185,184,193.6,179.34,9.59999999999999,67.3211781206171,1,8
"588","uhn5",5,"seed grass green","Danish","29","female","Dansk",11439,"2","Naming transmission","4",3,"seed græsgrøn",50,50,70,67,115,123,136.5,117.98,13.5,72.8941684665227,8,3
"589","uktv",5,"seed ocean blue","Danish","23","female","dansk",19712,"2","Naming transmission","4",13,"seed havblå",50,50,76,71,184,181,193.6,179.34,12.6,88.35904628331,3,5
"590","uktv",4,"seed mustard","Danish","23","female","dansk",21933,"2","Naming transmission","4",13,"seed sennepsgul",50,50,55,74,65,66,62.4,49.85,-3.6,-28.6852589641434,1,19
